Date,Region_Name,Area_Code,Detached_Average_Price,Detached_Index,Detached_Monthly_Change,Detached_Annual_Change,Semi_Detached_Average_Price,Semi_Detached_Index,Semi_Detached_Monthly_Change,Semi_Detached_Annual_Change,Terraced_Average_Price,Terraced_Index,Terraced_Monthly_Change,Terraced_Annual_Change,Flat_Average_Price,Flat_Index,Flat_Monthly_Change,Flat_Annual_Change
01/09/1996,Merton,E09000024,233036.4018,19.34604827,2.820658513,5.336689712,127166.6347,19.91335756,2.404834743,5.049635402,85701.35251,19.21466057,2.459096361,4.653834921,68698.86989,21.26549387,1.974194692,5.233159105
01/10/1996,Outer London,E13000002,168494.6594,23.4390835,0.850474793,5.851722702,100172.3452,22.25824503,0.5319598,5.239671349,73989.03271,21.15630537,0.577900041,5.3852186,60872.48383,22.73804128,0.387491153,5.042861576
01/10/1996,London,E12000007,171030.2916,23.00430531,0.628940892,6.715257736,101781.0988,21.56816578,-0.089823025,6.139418964,78585.93681,19.21648771,-0.410066167,7.222566399,69597.72052,19.23440584,-0.538934163,7.416320976
01/10/1996,Wandsworth,E09000032,257826.6737,17.03605324,-0.440446134,4.607968482,171357.3933,16.39226809,-0.589206161,4.712459368,117896.6705,15.83185255,-0.654702404,5.213795871,85069.91812,17.86125915,-0.687803104,3.872605392
01/10/1996,Merton,E09000024,240952.7326,20.00324052,3.397036117,9.93501083,131301.3567,20.56082453,3.251420414,10.00879067,88418.19204,19.82378922,3.170124443,10.10047186,70848.24437,21.93082519,3.12868972,9.70020022
01/11/1996,Outer London,E13000002,168433.2755,23.43054447,-0.036430726,6.587538316,100489.682,22.32875712,0.316790874,6.211213286,74294.48859,21.24364693,0.412839399,6.491327747,61282.14395,22.89106393,0.672980793,5.625201851
01/11/1996,London,E12000007,168697.0013,22.69046779,-1.364255582,7.329013997,102160.9971,21.64866903,0.37325035,7.362619452,79648.52877,19.47632154,1.352140092,8.905035464,70450.23868,19.47001241,1.224922529,8.250301638
01/11/1996,Merton,E09000024,244048.1971,20.26021757,1.284677102,11.20720432,133602.4346,20.92115637,1.752516483,11.50707149,90076.88844,20.19567704,1.87596734,12.08403564,72336.45505,22.39149558,2.100561122,10.5888099
01/11/1996,Wandsworth,E09000032,252357.1962,16.67465421,-2.121377692,3.944201159,168524.884,16.12130661,-1.652983472,4.227733114,116136.715,15.59551546,-1.492794932,5.025974307,83973.71786,17.63110121,-1.288587417,2.858333504
01/12/1996,Outer London,E13000002,168718.84,23.47026899,0.169541603,6.963817609,101294.8052,22.50765508,0.801199794,6.860250441,74824.02385,21.3950614,0.712751749,7.277489406,61643.49963,23.02604315,0.589658994,5.933852381
01/12/1996,London,E12000007,171029.8556,23.00424667,1.382866504,7.701835701,104399.1731,22.12295504,2.190832202,8.261152584,80634.19704,19.71734536,1.237522252,8.593047783,71374.44781,19.72543189,1.31186089,8.096387883
01/12/1996,Merton,E09000024,242635.1314,20.14290869,-0.579010926,11.31897588,133418.4037,20.89233849,-0.137745125,11.80398297,89906.81254,20.15754519,-0.188811916,12.49336317,72220.80142,22.3556954,-0.159882907,10.52335896
01/12/1996,Wandsworth,E09000032,254437.3722,16.81210309,0.82429825,6.502247045,170432.745,16.30381505,1.132094579,6.733826707,117449.0599,15.7717448,1.130000082,7.58639698,84766.17328,17.79748496,0.943694578,4.782368347
01/01/1997,Outer London,E13000002,170329.0303,23.69426057,0.954363042,8.12655464,102554.0003,22.78744762,1.243099473,8.104836224,75789.2464,21.67105559,1.289990168,8.298611663,62256.31879,23.25495294,0.994134281,7.002073691
01/01/1997,London,E12000007,176009.8551,23.67407788,2.91177199,10.05682432,105731.934,22.40537691,1.276600987,9.687908265,82194.74621,20.09894383,1.935344093,9.953602468,73140.82581,20.21359776,2.474804439,11.03843499
01/01/1997,Merton,E09000024,242843.1071,20.16017427,0.085715425,10.04486704,134035.6703,20.98899789,0.462654771,10.04622704,90550.26865,20.30181118,0.715692265,10.68359106,72429.60565,22.42033002,0.289119228,8.760729747
01/01/1997,Wandsworth,E09000032,257986.7003,17.0466271,1.394971239,8.018446653,173529.976,16.60010013,1.817274591,8.159335976,120050.9354,16.12113981,2.215322487,9.027697044,86226.75377,18.10414808,1.723069987,5.912949936
01/02/1997,Outer London,E13000002,172873.4046,24.04820533,1.493799589,9.294780132,103574.6449,23.01423434,0.995226505,8.457945845,76467.39583,21.86496455,0.894783175,8.797575426,62916.43753,23.50153081,1.060324088,7.919152349
01/02/1997,London,E12000007,176433.0492,23.7309993,0.240437765,10.50421216,105445.8338,22.34475017,-0.270590144,8.152256323,82177.71612,20.0947795,-0.020719188,9.392532286,74410.08167,20.56437623,1.735358948,11.07383535
01/02/1997,Merton,E09000024,247232.8588,20.52459951,1.807649258,13.38419404,135670.0484,21.24492944,1.219360492,12.46153127,91571.917,20.53086972,1.128266508,12.93435916,73326.66275,22.69801089,1.23852269,11.51955015
01/02/1997,Wandsworth,E09000032,267237.0061,17.65784664,3.585574681,12.33564812,179566.0746,17.17752107,3.478418393,11.69910312,123988.7353,16.64993055,3.280107651,12.38261732,89189.97111,18.72630447,3.436540529,9.774478351
01/03/1997,Outer London,E13000002,175024.7487,24.34747614,1.244462141,10.18797223,104320.3836,23.17993709,0.720001146,9.099103563,77217.3273,22.07939875,0.980720554,9.679802671,63568.70778,23.74517698,1.0367247,9.102551685
01/03/1997,London,E12000007,177667.3111,23.8970128,0.69956387,10.27918867,106902.6551,22.65346135,1.381582636,10.11889675,83576.09899,20.43672372,1.701657014,11.39157944,74926.32193,20.70704721,0.693777298,13.35834587
01/03/1997,Merton,E09000024,251441.0941,20.87395576,1.702134305,15.61238665,137307.5232,21.50134594,1.20695386,14.28645675,92852.2325,20.81792269,1.398152999,15.14818583,74129.41683,22.9465006,1.09476424,13.31419638
01/03/1997,Wandsworth,E09000032,274560.9158,18.1417784,2.740604592,12.67859393,183703.3277,17.57329601,2.304028275,12.12918137,126952.0642,17.04786364,2.389998493,13.21977354,91079.67296,19.1230658,2.118738044,10.62120457
01/04/1997,Outer London,E13000002,176413.9647,24.54072827,0.793725493,11.0032675,105337.9729,23.40604494,0.975446341,9.810832043,77954.67152,22.29023377,0.954894768,9.967164468,64208.57902,23.98419169,1.006582116,9.032591938
01/04/1997,London,E12000007,180373.4186,24.26099583,1.523131917,12.51967533,108927.3028,23.08249914,1.893917136,11.8568674,84904.48501,20.76155173,1.589432906,12.0691571,76392.74693,21.11231642,1.957155999,12.05934171
01/04/1997,Wandsworth,E09000032,280807.6787,18.55453703,2.27518288,16.14557891,187959.4665,17.98044371,2.316854472,15.28205091,129543.852,17.39590402,2.041548381,15.68710924,92841.68565,19.49301756,1.934583901,12.62626492
01/04/1997,Merton,E09000024,256031.9476,21.25507594,1.825816728,15.60955848,139357.3512,21.82233388,1.492873728,13.63068499,94089.95073,21.09542514,1.332997814,14.02002241,75126.84056,23.25524961,1.34551676,11.32694898
01/05/1997,Outer London,E13000002,179476.675,24.9667781,1.736092879,12.78666052,107473.202,23.88049177,2.027026921,11.74942793,79352.16058,22.68982955,1.792694442,10.94676124,65077.887,24.30890918,1.353881347,10.00860202
01/05/1997,London,E12000007,186373.4808,25.06802985,3.326466999,16.09186786,112328.6421,23.80326802,3.122577297,14.23338873,87396.69271,21.37096711,2.935307478,13.526397,78356.08363,21.65491487,2.570056417,15.85979562
01/05/1997,Merton,E09000024,259767.5161,21.56519268,1.459024363,15.63030627,141330.6395,22.13133628,1.415991525,13.24147026,95212.74588,21.34716128,1.19332101,12.81138379,75514.50975,23.37525125,0.516019562,9.979230494
01/05/1997,Wandsworth,E09000032,289973.5192,19.16017548,3.264098945,18.50045956,194347.604,18.59154113,3.39867823,18.05091763,133602.3358,17.94090089,3.132903402,17.43407907,95240.72544,19.99671936,2.584011458,14.4195333
01/06/1997,Outer London,E13000002,183390.7585,25.51126141,2.18083127,14.76819216,109386.6402,24.30565678,1.780386326,13.01793386,80633.8756,23.05632109,1.615223846,11.85449447,65769.50965,24.56725488,1.062761383,9.790889379
01/06/1997,London,E12000007,190062.1945,25.5641776,1.979205234,16.33547236,113226.7132,23.99357591,0.799503224,14.25908825,88605.98123,21.66667241,1.383677668,15.15662437,78377.32478,21.66078519,0.027108488,12.66946237
01/06/1997,Merton,E09000024,265940.3815,22.07764717,2.376303821,17.92504417,143791.7858,22.51673365,1.741410295,14.25311864,96602.1952,21.65868259,1.459310205,13.18800963,76201.0662,23.58777238,0.909171563,9.694536383
01/06/1997,Wandsworth,E09000032,300740.6011,19.87161692,3.713125916,23.20572762,201070.554,19.23466716,3.459239984,21.89361533,137822.0766,18.50755231,3.158433468,20.43799831,97652.80621,20.50315925,2.53261486,16.45990463
01/07/1997,Outer London,E13000002,188614.1871,26.2378861,2.848250739,16.47370026,112065.973,24.90100318,2.449414982,14.69818946,82668.99913,23.63824105,2.523906384,14.09929454,67134.59255,25.07716198,2.075555845,11.89709865
01/07/1997,London,E12000007,196287.3461,26.4014871,3.275323427,17.50804434,117350.0479,24.86734097,3.641662493,16.90129005,91655.36633,22.41233345,3.441511579,17.81548243,80619.7995,22.28052774,2.861126903,15.9618169
01/07/1997,Wandsworth,E09000032,311391.6746,20.57539304,3.541614755,24.36863684,208301.6801,19.92640596,3.596312806,23.80519741,143261.3449,19.23796898,3.94658708,23.30446586,100741.0341,21.15156282,3.162456881,19.25369807
01/07/1997,Merton,E09000024,272126.4319,22.59119625,2.326104176,22.17256838,146830.3603,22.99255203,2.113176736,18.91323105,98882.84413,22.17001518,2.360866565,18.4488725,77470.55469,23.98073809,1.665972085,15.03867066
01/08/1997,Outer London,E13000002,192745.9783,26.81265445,2.190604645,16.99069605,114119.6018,25.35731849,1.83251779,15.6806193,84070.05689,24.03885726,1.694780118,15.30395999,68188.17813,25.47071373,1.569363183,13.00762848
